File,DetectionScore,Landmarks
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame643_green.jpg,1.0,"{'Nose': array([550, 554, -61]), 'LeftEyeInner': array([561, 527, -49]), 'LeftEye': array([574, 526, -49]), 'LeftEyeOuter': array([586, 525, -49]), 'RightEyeInner': array([524, 531, -50]), 'RightEye': array([511, 533, -50]), 'RightEyeOuter': array([497, 536, -50]), 'LeftEar': array([600, 552,   7]), 'RightEar': array([473, 565,   2]), 'MouthLeft': array([575, 594, -40]), 'MouthRight': array([525, 599, -42]), 'LeftShoulder': array([716, 750,  14]), 'RightShoulder': array([373, 766,  20]), 'LeftElbow': array([944, 878,  16]), 'RightElbow': array([152, 853,  12]), 'LeftWrist': array([ 958, 1079,  -27]), 'RightWrist': array([ 138, 1041,  -48]), 'LeftPinky': array([ 968, 1153,  -44]), 'RightPinky': array([ 121, 1112,  -68]), 'LeftIndex': array([ 927, 1133,  -61]), 'RightIndex': array([ 167, 1101,  -82]), 'LeftThumb': array([ 917, 1118,  -34]), 'RightThumb': array([ 180, 1086,  -56]), 'LeftHip': array([ 664, 1287,   -2]), 'RightHip': array([ 460, 1291,    2]), 'LeftKnee': array([ 720, 1663,  -46]), 'RightKnee': array([ 414, 1640,    9]), 'LeftAnkle': array([ 704, 1976,   55]), 'RightAnkle': array([ 427, 1957,  104]), 'LeftHeel': array([ 683, 2012,   63]), 'RightHeel': array([ 450, 2003,  111]), 'LeftFootIndex': array([ 741, 2103,   11]), 'RightFootIndex': array([ 386, 2067,   53])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame644_green.jpg,1.0,"{'Nose': array([ 544,  572, -110]), 'LeftEyeInner': array([556, 543, -99]), 'LeftEye': array([568, 542, -99]), 'LeftEyeOuter': array([579, 541, -99]), 'RightEyeInner': array([ 521,  547, -100]), 'RightEye': array([ 508,  549, -100]), 'RightEyeOuter': array([ 495,  551, -100]), 'LeftEar': array([595, 562, -30]), 'RightEar': array([473, 575, -34]), 'MouthLeft': array([567, 609, -85]), 'MouthRight': array([520, 613, -86]), 'LeftShoulder': array([702, 745,   0]), 'RightShoulder': array([376, 766,  -2]), 'LeftElbow': array([951, 853, -16]), 'RightElbow': array([146, 838, -37]), 'LeftWrist': array([ 981, 1043,  -96]), 'RightWrist': array([ 114, 1019, -138]), 'LeftPinky': array([ 998, 1111, -116]), 'RightPinky': array([  88, 1085, -163]), 'LeftIndex': array([ 957, 1096, -133]), 'RightIndex': array([ 137, 1078, -177]), 'LeftThumb': array([ 944, 1085, -103]), 'RightThumb': array([ 150, 1066, -146]), 'LeftHip': array([ 650, 1268,    0]), 'RightHip': array([ 457, 1276,    0]), 'LeftKnee': array([ 708, 1627,  -38]), 'RightKnee': array([ 425, 1617,   -6]), 'LeftAnkle': array([ 711, 1954,   51]), 'RightAnkle': array([ 426, 1939,   75]), 'LeftHeel': array([ 691, 1997,   57]), 'RightHeel': array([ 441, 1984,   80]), 'LeftFootIndex': array([ 742, 2067,  -15]), 'RightFootIndex': array([ 412, 2047,    1])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame645_green.jpg,0.9990234375,"{'Nose': array([ 546,  569, -101]), 'LeftEyeInner': array([560, 543, -90]), 'LeftEye': array([572, 542, -90]), 'LeftEyeOuter': array([583, 542, -90]), 'RightEyeInner': array([525, 546, -91]), 'RightEye': array([512, 547, -91]), 'RightEyeOuter': array([499, 548, -91]), 'LeftEar': array([598, 566, -21]), 'RightEar': array([477, 573, -26]), 'MouthLeft': array([568, 607, -75]), 'MouthRight': array([522, 610, -77]), 'LeftShoulder': array([702, 744,   8]), 'RightShoulder': array([377, 756,   0]), 'LeftElbow': array([958, 820,  -8]), 'RightElbow': array([144, 797, -37]), 'LeftWrist': array([ 998, 1014,  -86]), 'RightWrist': array([  86,  996, -135]), 'LeftPinky': array([1023, 1085, -106]), 'RightPinky': array([  47, 1065, -159]), 'LeftIndex': array([ 977, 1072, -125]), 'RightIndex': array([  99, 1067, -176]), 'LeftThumb': array([ 963, 1062,  -95]), 'RightThumb': array([ 118, 1054, -144]), 'LeftHip': array([ 646, 1281,    1]), 'RightHip': array([ 451, 1284,   -1]), 'LeftKnee': array([ 699, 1647,  -33]), 'RightKnee': array([ 415, 1632,   -9]), 'LeftAnkle': array([ 703, 1977,   54]), 'RightAnkle': array([ 417, 1960,   69]), 'LeftHeel': array([ 681, 2023,   59]), 'RightHeel': array([ 436, 2008,   73]), 'LeftFootIndex': array([ 749, 2084,  -11]), 'RightFootIndex': array([ 390, 2067,   -5])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame646_green.jpg,1.0,"{'Nose': array([554, 572, -81]), 'LeftEyeInner': array([569, 549, -68]), 'LeftEye': array([581, 549, -68]), 'LeftEyeOuter': array([591, 548, -68]), 'RightEyeInner': array([534, 550, -69]), 'RightEye': array([522, 551, -69]), 'RightEyeOuter': array([509, 552, -69]), 'LeftEar': array([607, 572,   2]), 'RightEar': array([486, 576,  -1]), 'MouthLeft': array([575, 611, -54]), 'MouthRight': array([530, 613, -56]), 'LeftShoulder': array([703, 741,  28]), 'RightShoulder': array([385, 756,  21]), 'LeftElbow': array([963, 792,  -6]), 'RightElbow': array([138, 781,  -8]), 'LeftWrist': array([1028,  977, -101]), 'RightWrist': array([ 61, 968, -88]), 'LeftPinky': array([1065, 1044, -124]), 'RightPinky': array([  17, 1033, -111]), 'LeftIndex': array([1016, 1038, -143]), 'RightIndex': array([  68, 1041, -128]), 'LeftThumb': array([ 999, 1030, -111]), 'RightThumb': array([  87, 1029,  -98]), 'LeftHip': array([ 647, 1293,    1]), 'RightHip': array([ 452, 1294,   -1]), 'LeftKnee': array([ 695, 1662,  -47]), 'RightKnee': array([ 412, 1643,   -8]), 'LeftAnkle': array([ 694, 1984,   42]), 'RightAnkle': array([ 402, 1973,   80]), 'LeftHeel': array([ 671, 2032,   48]), 'RightHeel': array([ 418, 2021,   85]), 'LeftFootIndex': array([ 746, 2091,  -22]), 'RightFootIndex': array([ 367, 2079,    6])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame647_green.jpg,0.9990234375,"{'Nose': array([554, 565, -89]), 'LeftEyeInner': array([568, 543, -76]), 'LeftEye': array([578, 542, -76]), 'LeftEyeOuter': array([589, 543, -76]), 'RightEyeInner': array([533, 544, -79]), 'RightEye': array([522, 545, -79]), 'RightEyeOuter': array([510, 546, -79]), 'LeftEar': array([604, 567,  -5]), 'RightEar': array([487, 571, -15]), 'MouthLeft': array([573, 604, -62]), 'MouthRight': array([529, 605, -65]), 'LeftShoulder': array([704, 742,  31]), 'RightShoulder': array([384, 745,   7]), 'LeftElbow': array([953, 787,  38]), 'RightElbow': array([137, 751, -13]), 'LeftWrist': array([1053,  954,   -5]), 'RightWrist': array([ 54, 942, -82]), 'LeftPinky': array([1096, 1007,  -18]), 'RightPinky': array([   6, 1003, -101]), 'LeftIndex': array([1061, 1009,  -40]), 'RightIndex': array([  53, 1015, -120]), 'LeftThumb': array([1041, 1003,  -16]), 'RightThumb': array([  73, 1004,  -92]), 'LeftHip': array([ 647, 1295,    4]), 'RightHip': array([ 452, 1296,   -4]), 'LeftKnee': array([ 696, 1659,  -41]), 'RightKnee': array([ 410, 1646,  -14]), 'LeftAnkle': array([ 691, 1992,   38]), 'RightAnkle': array([ 395, 1982,   68]), 'LeftHeel': array([ 665, 2038,   42]), 'RightHeel': array([ 413, 2033,   71]), 'LeftFootIndex': array([ 747, 2096,  -33]), 'RightFootIndex': array([ 350, 2085,  -12])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame648_green.jpg,1.0,"{'Nose': array([539, 557, -82]), 'LeftEyeInner': array([558, 535, -70]), 'LeftEye': array([570, 535, -70]), 'LeftEyeOuter': array([582, 535, -70]), 'RightEyeInner': array([523, 536, -70]), 'RightEye': array([512, 536, -70]), 'RightEyeOuter': array([499, 537, -70]), 'LeftEar': array([601, 562,  -1]), 'RightEar': array([482, 564,   0]), 'MouthLeft': array([563, 597, -56]), 'MouthRight': array([517, 598, -56]), 'LeftShoulder': array([702, 738,  26]), 'RightShoulder': array([383, 749,  25]), 'LeftElbow': array([962, 766,  -7]), 'RightElbow': array([149, 759,  -2]), 'LeftWrist': array([1045,  915,  -86]), 'RightWrist': array([ 47, 926, -85]), 'LeftPinky': array([1086,  966, -105]), 'RightPinky': array([  -7,  981, -107]), 'LeftIndex': array([1044,  967, -124]), 'RightIndex': array([  38,  992, -124]), 'LeftThumb': array([1025,  963,  -96]), 'RightThumb': array([ 60, 982, -95]), 'LeftHip': array([ 649, 1293,    0]), 'RightHip': array([ 454, 1296,    0]), 'LeftKnee': array([ 698, 1657,  -42]), 'RightKnee': array([ 414, 1648,   -9]), 'LeftAnkle': array([ 692, 1986,   38]), 'RightAnkle': array([ 400, 1987,   65]), 'LeftHeel': array([ 667, 2032,   43]), 'RightHeel': array([ 421, 2037,   67]), 'LeftFootIndex': array([ 744, 2096,  -32]), 'RightFootIndex': array([ 354, 2091,  -16])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame649_green.jpg,1.0,"{'Nose': array([ 544,  565, -100]), 'LeftEyeInner': array([562, 544, -87]), 'LeftEye': array([573, 545, -87]), 'LeftEyeOuter': array([585, 546, -87]), 'RightEyeInner': array([529, 543, -89]), 'RightEye': array([516, 543, -89]), 'RightEyeOuter': array([505, 543, -89]), 'LeftEar': array([600, 570, -11]), 'RightEar': array([483, 566, -17]), 'MouthLeft': array([562, 606, -72]), 'MouthRight': array([518, 604, -74]), 'LeftShoulder': array([694, 742,  24]), 'RightShoulder': array([372, 748,   5]), 'LeftElbow': array([941, 758,  -7]), 'RightElbow': array([137, 760, -44]), 'LeftWrist': array([1045,  889,  -99]), 'RightWrist': array([  43,  923, -156]), 'LeftPinky': array([1092,  934, -120]), 'RightPinky': array([  -9,  978, -184]), 'LeftIndex': array([1056,  939, -142]), 'RightIndex': array([  39,  986, -202]), 'LeftThumb': array([1034,  937, -111]), 'RightThumb': array([  60,  976, -167]), 'LeftHip': array([ 643, 1296,    4]), 'RightHip': array([ 446, 1300,   -4]), 'LeftKnee': array([ 693, 1647,  -43]), 'RightKnee': array([ 409, 1648,   -9]), 'LeftAnkle': array([ 697, 1976,   56]), 'RightAnkle': array([ 400, 1983,   80]), 'LeftHeel': array([ 673, 2025,   63]), 'RightHeel': array([ 415, 2032,   84]), 'LeftFootIndex': array([ 752, 2075,  -17]), 'RightFootIndex': array([ 376, 2085,   -8])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame650_green.jpg,1.0,"{'Nose': array([ 544,  564, -105]), 'LeftEyeInner': array([564, 542, -94]), 'LeftEye': array([575, 543, -94]), 'LeftEyeOuter': array([587, 544, -94]), 'RightEyeInner': array([529, 542, -94]), 'RightEye': array([518, 542, -94]), 'RightEyeOuter': array([506, 543, -94]), 'LeftEar': array([607, 569, -20]), 'RightEar': array([489, 568, -20]), 'MouthLeft': array([566, 605, -77]), 'MouthRight': array([521, 604, -78]), 'LeftShoulder': array([701, 744,  15]), 'RightShoulder': array([386, 747,   8]), 'LeftElbow': array([942, 767, -46]), 'RightElbow': array([153, 751, -30]), 'LeftWrist': array([1027,  867, -176]), 'RightWrist': array([  48,  907, -131]), 'LeftPinky': array([1067,  905, -201]), 'RightPinky': array([  -3,  963, -156]), 'LeftIndex': array([1031,  906, -217]), 'RightIndex': array([  42,  970, -173]), 'LeftThumb': array([1009,  907, -186]), 'RightThumb': array([  63,  962, -142]), 'LeftHip': array([ 647, 1290,    2]), 'RightHip': array([ 454, 1290,   -2]), 'LeftKnee': array([ 702, 1648,  -36]), 'RightKnee': array([ 420, 1636,    0]), 'LeftAnkle': array([ 693, 1969,   79]), 'RightAnkle': array([ 411, 1958,  111]), 'LeftHeel': array([ 668, 2014,   87]), 'RightHeel': array([ 425, 2003,  117]), 'LeftFootIndex': array([ 738, 2077,    6]), 'RightFootIndex': array([ 393, 2066,   27])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame651_green.jpg,1.0,"{'Nose': array([ 544,  569, -127]), 'LeftEyeInner': array([ 562,  545, -114]), 'LeftEye': array([ 575,  545, -114]), 'LeftEyeOuter': array([ 587,  546, -114]), 'RightEyeInner': array([ 527,  545, -115]), 'RightEye': array([ 515,  545, -115]), 'RightEyeOuter': array([ 503,  545, -115]), 'LeftEar': array([606, 571, -37]), 'RightEar': array([484, 569, -39]), 'MouthLeft': array([565, 609, -97]), 'MouthRight': array([519, 608, -98]), 'LeftShoulder': array([700, 742,   4]), 'RightShoulder': array([380, 750,  -9]), 'LeftElbow': array([945, 757, -36]), 'RightElbow': array([143, 765, -41]), 'LeftWrist': array([1056,  869, -146]), 'RightWrist': array([  41,  925, -133]), 'LeftPinky': array([1104,  908, -169]), 'RightPinky': array([  -8,  980, -158]), 'LeftIndex': array([1069,  913, -189]), 'RightIndex': array([  34,  987, -176]), 'LeftThumb': array([1046,  914, -158]), 'RightThumb': array([  56,  979, -144]), 'LeftHip': array([ 646, 1295,    0]), 'RightHip': array([ 455, 1296,    0]), 'LeftKnee': array([ 690, 1647,  -33]), 'RightKnee': array([ 411, 1629,   15]), 'LeftAnkle': array([ 683, 1960,   79]), 'RightAnkle': array([ 407, 1938,  137]), 'LeftHeel': array([ 660, 2001,   87]), 'RightHeel': array([ 425, 1982,  144]), 'LeftFootIndex': array([ 713, 2074,    2]), 'RightFootIndex': array([ 385, 2050,   55])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame652_green.jpg,0.9990234375,"{'Nose': array([ 538,  564, -113]), 'LeftEyeInner': array([ 559,  543, -100]), 'LeftEye': array([ 571,  544, -100]), 'LeftEyeOuter': array([ 581,  544, -100]), 'RightEyeInner': array([ 523,  542, -101]), 'RightEye': array([ 512,  543, -101]), 'RightEyeOuter': array([ 499,  543, -101]), 'LeftEar': array([602, 570, -25]), 'RightEar': array([482, 568, -25]), 'MouthLeft': array([561, 605, -85]), 'MouthRight': array([515, 604, -85]), 'LeftShoulder': array([698, 747,  15]), 'RightShoulder': array([378, 746,   1]), 'LeftElbow': array([951, 764,   3]), 'RightElbow': array([130, 751, -20]), 'LeftWrist': array([1056,  893,  -67]), 'RightWrist': array([ 44, 934, -97]), 'LeftPinky': array([1103,  937,  -83]), 'RightPinky': array([  -3,  996, -119]), 'LeftIndex': array([1066,  941, -105]), 'RightIndex': array([  44, 1006, -138]), 'LeftThumb': array([1046,  940,  -78]), 'RightThumb': array([  63,  995, -108]), 'LeftHip': array([ 642, 1305,    2]), 'RightHip': array([ 448, 1306,   -1]), 'LeftKnee': array([ 692, 1660,  -40]), 'RightKnee': array([ 402, 1655,   -4]), 'LeftAnkle': array([ 681, 1988,   68]), 'RightAnkle': array([ 407, 1986,   95]), 'LeftHeel': array([ 656, 2032,   75]), 'RightHeel': array([ 429, 2034,  100]), 'LeftFootIndex': array([ 722, 2100,   -7]), 'RightFootIndex': array([ 379, 2094,    8])}"
