File,DetectionScore,Landmarks
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame377_purple.jpg,1.0,"{'Nose': array([540, 559, -92]), 'LeftEyeInner': array([556, 534, -81]), 'LeftEye': array([568, 535, -81]), 'LeftEyeOuter': array([580, 535, -81]), 'RightEyeInner': array([522, 536, -80]), 'RightEye': array([510, 537, -80]), 'RightEyeOuter': array([497, 538, -80]), 'LeftEar': array([594, 563, -23]), 'RightEar': array([477, 566, -20]), 'MouthLeft': array([562, 600, -71]), 'MouthRight': array([515, 600, -71]), 'LeftShoulder': array([690, 782, -15]), 'RightShoulder': array([377, 742,   2]), 'LeftElbow': array([853, 970, -13]), 'RightElbow': array([148, 675, -66]), 'LeftWrist': array([ 938, 1195,  -34]), 'RightWrist': array([  13,  637, -189]), 'LeftPinky': array([ 971, 1267,  -43]), 'RightPinky': array([ -41,  632, -216]), 'LeftIndex': array([ 946, 1265,  -66]), 'RightIndex': array([ -16,  633, -229]), 'LeftThumb': array([ 922, 1246,  -42]), 'RightThumb': array([   6,  648, -201]), 'LeftHip': array([ 625, 1291,    0]), 'RightHip': array([ 438, 1291,    0]), 'LeftKnee': array([ 667, 1651,  -31]), 'RightKnee': array([ 414, 1643,   12]), 'LeftAnkle': array([ 674, 1944,   80]), 'RightAnkle': array([ 410, 1943,  131]), 'LeftHeel': array([ 660, 1981,   88]), 'RightHeel': array([ 428, 1987,  139]), 'LeftFootIndex': array([ 704, 2062,   23]), 'RightFootIndex': array([ 370, 2053,   62])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame378_purple.jpg,0.998046875,"{'Nose': array([544, 548, -95]), 'LeftEyeInner': array([556, 527, -81]), 'LeftEye': array([567, 527, -81]), 'LeftEyeOuter': array([578, 527, -81]), 'RightEyeInner': array([523, 531, -79]), 'RightEye': array([511, 533, -79]), 'RightEyeOuter': array([499, 535, -79]), 'LeftEar': array([589, 560, -24]), 'RightEar': array([476, 570, -16]), 'MouthLeft': array([567, 590, -76]), 'MouthRight': array([520, 593, -74]), 'LeftShoulder': array([685, 785, -28]), 'RightShoulder': array([378, 750,   2]), 'LeftElbow': array([854, 974, -37]), 'RightElbow': array([139, 607,  -6]), 'LeftWrist': array([ 932, 1188,  -74]), 'RightWrist': array([ -3, 467, -28]), 'LeftPinky': array([ 964, 1257,  -88]), 'RightPinky': array([-52, 434, -43]), 'LeftIndex': array([ 933, 1250, -108]), 'RightIndex': array([-36, 435, -61]), 'LeftThumb': array([ 911, 1231,  -83]), 'RightThumb': array([-19, 456, -41]), 'LeftHip': array([ 627, 1268,   -5]), 'RightHip': array([ 444, 1271,    5]), 'LeftKnee': array([ 665, 1607,  -57]), 'RightKnee': array([ 419, 1609,   20]), 'LeftAnkle': array([ 658, 1913,   46]), 'RightAnkle': array([ 428, 1908,  138]), 'LeftHeel': array([ 646, 1950,   53]), 'RightHeel': array([ 450, 1949,  146]), 'LeftFootIndex': array([ 679, 2037,  -19]), 'RightFootIndex': array([ 387, 2026,   70])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame379_purple.jpg,0.9990234375,"{'Nose': array([548, 542, -86]), 'LeftEyeInner': array([561, 522, -72]), 'LeftEye': array([572, 522, -72]), 'LeftEyeOuter': array([582, 522, -73]), 'RightEyeInner': array([528, 524, -69]), 'RightEye': array([516, 526, -69]), 'RightEyeOuter': array([504, 527, -69]), 'LeftEar': array([592, 555, -19]), 'RightEar': array([481, 561,  -6]), 'MouthLeft': array([568, 584, -68]), 'MouthRight': array([522, 585, -64]), 'LeftShoulder': array([683, 783, -28]), 'RightShoulder': array([379, 741,  13]), 'LeftElbow': array([854, 978, -34]), 'RightElbow': array([157, 570,   6]), 'LeftWrist': array([ 936, 1202,  -64]), 'RightWrist': array([ 16, 403, -10]), 'LeftPinky': array([ 970, 1273,  -77]), 'RightPinky': array([-34, 366, -25]), 'LeftIndex': array([ 938, 1269, -100]), 'RightIndex': array([-15, 363, -44]), 'LeftThumb': array([ 916, 1249,  -74]), 'RightThumb': array([  1, 384, -23]), 'LeftHip': array([ 619, 1278,   -6]), 'RightHip': array([ 435, 1282,    6]), 'LeftKnee': array([ 651, 1639,  -45]), 'RightKnee': array([ 407, 1638,   16]), 'LeftAnkle': array([ 649, 1945,   62]), 'RightAnkle': array([ 422, 1947,  127]), 'LeftHeel': array([ 636, 1984,   70]), 'RightHeel': array([ 447, 1991,  134]), 'LeftFootIndex': array([ 681, 2057,   -1]), 'RightFootIndex': array([ 375, 2060,   56])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame380_purple.jpg,0.998046875,"{'Nose': array([548, 544, -67]), 'LeftEyeInner': array([562, 524, -55]), 'LeftEye': array([572, 524, -55]), 'LeftEyeOuter': array([583, 524, -55]), 'RightEyeInner': array([529, 527, -51]), 'RightEye': array([518, 529, -51]), 'RightEyeOuter': array([506, 531, -51]), 'LeftEar': array([596, 557,  -8]), 'RightEar': array([486, 564,  10]), 'MouthLeft': array([569, 584, -52]), 'MouthRight': array([524, 587, -46]), 'LeftShoulder': array([684, 779, -20]), 'RightShoulder': array([394, 735,  29]), 'LeftElbow': array([845, 976, -31]), 'RightElbow': array([195, 566,  27]), 'LeftWrist': array([ 918, 1199,  -59]), 'RightWrist': array([ 21, 385,  11]), 'LeftPinky': array([ 951, 1270,  -70]), 'RightPinky': array([-37, 343,  -1]), 'LeftIndex': array([ 921, 1265,  -91]), 'RightIndex': array([-25, 339, -22]), 'LeftThumb': array([ 898, 1246,  -68]), 'RightThumb': array([ -6, 362,  -3]), 'LeftHip': array([ 627, 1263,   -6]), 'RightHip': array([ 448, 1267,    6]), 'LeftKnee': array([ 658, 1621,  -50]), 'RightKnee': array([ 415, 1613,   10]), 'LeftAnkle': array([ 650, 1932,   34]), 'RightAnkle': array([ 415, 1931,  102]), 'LeftHeel': array([ 635, 1973,   40]), 'RightHeel': array([ 437, 1979,  107]), 'LeftFootIndex': array([ 688, 2041,  -32]), 'RightFootIndex': array([ 368, 2037,   29])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame381_purple.jpg,1.0,"{'Nose': array([555, 530, -74]), 'LeftEyeInner': array([571, 512, -61]), 'LeftEye': array([582, 512, -61]), 'LeftEyeOuter': array([593, 513, -61]), 'RightEyeInner': array([538, 513, -57]), 'RightEye': array([527, 514, -57]), 'RightEyeOuter': array([514, 515, -57]), 'LeftEar': array([605, 546, -12]), 'RightEar': array([495, 549,   6]), 'MouthLeft': array([576, 572, -57]), 'MouthRight': array([531, 573, -52]), 'LeftShoulder': array([687, 778, -21]), 'RightShoulder': array([393, 721,  20]), 'LeftElbow': array([848, 979, -27]), 'RightElbow': array([188, 518,  14]), 'LeftWrist': array([ 917, 1212,  -51]), 'RightWrist': array([ 45, 328,   4]), 'LeftPinky': array([ 948, 1284,  -61]), 'RightPinky': array([ -8, 284,  -9]), 'LeftIndex': array([ 917, 1282,  -82]), 'RightIndex': array([ 11, 283, -26]), 'LeftThumb': array([ 895, 1261,  -60]), 'RightThumb': array([ 28, 306,  -8]), 'LeftHip': array([ 618, 1267,   -4]), 'RightHip': array([ 435, 1271,    4]), 'LeftKnee': array([ 651, 1634,  -42]), 'RightKnee': array([ 411, 1629,    8]), 'LeftAnkle': array([ 652, 1948,   54]), 'RightAnkle': array([ 416, 1949,  111]), 'LeftHeel': array([ 637, 1988,   60]), 'RightHeel': array([ 436, 1994,  118]), 'LeftFootIndex': array([ 686, 2064,  -15]), 'RightFootIndex': array([ 382, 2062,   36])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame382_purple.jpg,1.0,"{'Nose': array([570, 535, -94]), 'LeftEyeInner': array([586, 518, -81]), 'LeftEye': array([596, 519, -81]), 'LeftEyeOuter': array([606, 520, -81]), 'RightEyeInner': array([554, 518, -77]), 'RightEye': array([543, 519, -77]), 'RightEyeOuter': array([531, 520, -77]), 'LeftEar': array([618, 554, -28]), 'RightEar': array([511, 552, -11]), 'MouthLeft': array([589, 576, -76]), 'MouthRight': array([545, 575, -71]), 'LeftShoulder': array([692, 780, -31]), 'RightShoulder': array([406, 715,   2]), 'LeftElbow': array([841, 983, -36]), 'RightElbow': array([220, 500,  -9]), 'LeftWrist': array([ 909, 1213,  -64]), 'RightWrist': array([ 73, 290, -25]), 'LeftPinky': array([ 940, 1283,  -76]), 'RightPinky': array([ 20, 240, -41]), 'LeftIndex': array([ 915, 1284,  -98]), 'RightIndex': array([ 40, 238, -60]), 'LeftThumb': array([ 892, 1263,  -74]), 'RightThumb': array([ 57, 262, -38]), 'LeftHip': array([ 629, 1244,   -3]), 'RightHip': array([ 449, 1249,    3]), 'LeftKnee': array([ 656, 1612,  -40]), 'RightKnee': array([ 414, 1605,   14]), 'LeftAnkle': array([ 646, 1933,   52]), 'RightAnkle': array([ 408, 1928,  124]), 'LeftHeel': array([ 629, 1974,   58]), 'RightHeel': array([ 430, 1972,  130]), 'LeftFootIndex': array([ 679, 2047,  -24]), 'RightFootIndex': array([ 365, 2039,   45])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame383_purple.jpg,0.9990234375,"{'Nose': array([564, 539, -83]), 'LeftEyeInner': array([579, 522, -70]), 'LeftEye': array([590, 523, -70]), 'LeftEyeOuter': array([599, 523, -70]), 'RightEyeInner': array([548, 522, -67]), 'RightEye': array([538, 523, -67]), 'RightEyeOuter': array([527, 524, -67]), 'LeftEar': array([613, 554, -15]), 'RightEar': array([508, 554,   0]), 'MouthLeft': array([583, 580, -64]), 'MouthRight': array([541, 579, -60]), 'LeftShoulder': array([691, 779, -11]), 'RightShoulder': array([406, 713,  12]), 'LeftElbow': array([834, 984, -12]), 'RightElbow': array([236, 497,  -1]), 'LeftWrist': array([ 909, 1210,  -43]), 'RightWrist': array([ 97, 280, -21]), 'LeftPinky': array([ 943, 1277,  -56]), 'RightPinky': array([ 44, 228, -41]), 'LeftIndex': array([ 916, 1278,  -79]), 'RightIndex': array([ 67, 225, -59]), 'LeftThumb': array([ 891, 1258,  -53]), 'RightThumb': array([ 85, 250, -35]), 'LeftHip': array([ 617, 1256,    0]), 'RightHip': array([ 434, 1258,    0]), 'LeftKnee': array([ 651, 1612,  -29]), 'RightKnee': array([ 403, 1612,    4]), 'LeftAnkle': array([ 647, 1936,   67]), 'RightAnkle': array([ 401, 1936,  107]), 'LeftHeel': array([ 628, 1977,   73]), 'RightHeel': array([ 421, 1981,  113]), 'LeftFootIndex': array([ 684, 2045,   -8]), 'RightFootIndex': array([ 372, 2052,   25])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame384_purple.jpg,0.9990234375,"{'Nose': array([572, 539, -77]), 'LeftEyeInner': array([589, 522, -65]), 'LeftEye': array([600, 523, -65]), 'LeftEyeOuter': array([610, 524, -65]), 'RightEyeInner': array([558, 521, -62]), 'RightEye': array([546, 521, -62]), 'RightEyeOuter': array([536, 522, -62]), 'LeftEar': array([623, 555, -11]), 'RightEar': array([515, 550,   3]), 'MouthLeft': array([591, 580, -59]), 'MouthRight': array([548, 578, -55]), 'LeftShoulder': array([696, 776,  -8]), 'RightShoulder': array([411, 710,  15]), 'LeftElbow': array([822, 997,  -4]), 'RightElbow': array([251, 509,   4]), 'LeftWrist': array([ 891, 1223,  -24]), 'RightWrist': array([125, 291, -14]), 'LeftPinky': array([ 923, 1288,  -36]), 'RightPinky': array([ 75, 237, -35]), 'LeftIndex': array([ 900, 1290,  -60]), 'RightIndex': array([ 98, 234, -53]), 'LeftThumb': array([ 874, 1271,  -34]), 'RightThumb': array([116, 259, -28]), 'LeftHip': array([ 624, 1267,   -2]), 'RightHip': array([ 434, 1269,    2]), 'LeftKnee': array([ 661, 1628,  -26]), 'RightKnee': array([ 385, 1622,   15]), 'LeftAnkle': array([ 658, 1942,   86]), 'RightAnkle': array([ 399, 1945,  128]), 'LeftHeel': array([ 639, 1984,   94]), 'RightHeel': array([ 425, 1992,  134]), 'LeftFootIndex': array([ 694, 2057,   13]), 'RightFootIndex': array([ 357, 2058,   47])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame385_purple.jpg,1.0,"{'Nose': array([574, 543, -63]), 'LeftEyeInner': array([590, 524, -50]), 'LeftEye': array([601, 526, -50]), 'LeftEyeOuter': array([612, 527, -50]), 'RightEyeInner': array([558, 523, -48]), 'RightEye': array([548, 523, -48]), 'RightEyeOuter': array([536, 524, -48]), 'LeftEar': array([623, 556,   2]), 'RightEar': array([515, 551,  12]), 'MouthLeft': array([592, 583, -45]), 'MouthRight': array([549, 580, -42]), 'LeftShoulder': array([694, 773,   2]), 'RightShoulder': array([413, 703,  20]), 'LeftElbow': array([829, 991,   8]), 'RightElbow': array([248, 494,   6]), 'LeftWrist': array([ 895, 1218,   -8]), 'RightWrist': array([139, 288,  -3]), 'LeftPinky': array([ 926, 1284,  -18]), 'RightPinky': array([ 93, 238, -20]), 'LeftIndex': array([ 902, 1287,  -39]), 'RightIndex': array([119, 237, -36]), 'LeftThumb': array([ 877, 1268,  -17]), 'RightThumb': array([134, 261, -16]), 'LeftHip': array([ 630, 1242,    0]), 'RightHip': array([ 446, 1244,    0]), 'LeftKnee': array([ 670, 1610,  -45]), 'RightKnee': array([ 416, 1599,    0]), 'LeftAnkle': array([ 646, 1925,   55]), 'RightAnkle': array([ 404, 1917,  112]), 'LeftHeel': array([ 626, 1961,   62]), 'RightHeel': array([ 422, 1961,  119]), 'LeftFootIndex': array([ 671, 2051,  -13]), 'RightFootIndex': array([ 369, 2039,   39])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\purple\subject1_scenario1_frame386_purple.jpg,0.9990234375,"{'Nose': array([582, 535, -40]), 'LeftEyeInner': array([599, 522, -26]), 'LeftEye': array([608, 523, -26]), 'LeftEyeOuter': array([618, 525, -26]), 'RightEyeInner': array([568, 520, -22]), 'RightEye': array([558, 521, -23]), 'RightEyeOuter': array([548, 521, -23]), 'LeftEar': array([631, 558,  25]), 'RightEar': array([529, 552,  40]), 'MouthLeft': array([599, 576, -22]), 'MouthRight': array([559, 573, -18]), 'LeftShoulder': array([704, 777,  20]), 'RightShoulder': array([422, 702,  44]), 'LeftElbow': array([820, 994,  22]), 'RightElbow': array([261, 492,  34]), 'LeftWrist': array([ 886, 1218,   -1]), 'RightWrist': array([146, 277,  20]), 'LeftPinky': array([ 917, 1283,  -12]), 'RightPinky': array([ 99, 226,   2]), 'LeftIndex': array([ 895, 1285,  -35]), 'RightIndex': array([122, 222, -15]), 'LeftThumb': array([ 870, 1265,  -11]), 'RightThumb': array([138, 246,   6]), 'LeftHip': array([ 636, 1241,   -1]), 'RightHip': array([ 449, 1239,    1]), 'LeftKnee': array([ 659, 1606,  -40]), 'RightKnee': array([ 424, 1596,    7]), 'LeftAnkle': array([ 633, 1914,   72]), 'RightAnkle': array([ 425, 1918,  125]), 'LeftHeel': array([ 612, 1951,   81]), 'RightHeel': array([ 446, 1961,  133]), 'LeftFootIndex': array([ 666, 2034,    3]), 'RightFootIndex': array([ 391, 2039,   50])}"
