File,DetectionScore,Landmarks
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame296_red.jpg,0.9990234375,"{'Nose': array([525, 557, -69]), 'LeftEyeInner': array([541, 534, -58]), 'LeftEye': array([553, 534, -58]), 'LeftEyeOuter': array([565, 534, -58]), 'RightEyeInner': array([506, 536, -58]), 'RightEye': array([494, 537, -58]), 'RightEyeOuter': array([482, 539, -58]), 'LeftEar': array([582, 562,   3]), 'RightEar': array([465, 568,   2]), 'MouthLeft': array([549, 597, -46]), 'MouthRight': array([502, 599, -47]), 'LeftShoulder': array([687, 741,  22]), 'RightShoulder': array([368, 756,  19]), 'LeftElbow': array([906, 762, -19]), 'RightElbow': array([158, 782,  -9]), 'LeftWrist': array([1076,  809,  -90]), 'RightWrist': array([ -3, 851, -84]), 'LeftPinky': array([1140,  823, -104]), 'RightPinky': array([ -65,  875, -101]), 'LeftIndex': array([1123,  825, -124]), 'RightIndex': array([ -46,  875, -120]), 'LeftThumb': array([1096,  831, -102]), 'RightThumb': array([-20, 877, -97]), 'LeftHip': array([ 647, 1270,    0]), 'RightHip': array([ 455, 1277,    0]), 'LeftKnee': array([ 706, 1629,  -41]), 'RightKnee': array([ 435, 1621,   -1]), 'LeftAnkle': array([ 695, 1952,   42]), 'RightAnkle': array([ 433, 1933,   91]), 'LeftHeel': array([ 673, 1992,   46]), 'RightHeel': array([ 451, 1976,   96]), 'LeftFootIndex': array([ 722, 2077,  -30]), 'RightFootIndex': array([ 400, 2049,   17])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame297_red.jpg,0.998046875,"{'Nose': array([520, 553, -96]), 'LeftEyeInner': array([536, 531, -84]), 'LeftEye': array([548, 531, -84]), 'LeftEyeOuter': array([560, 531, -84]), 'RightEyeInner': array([502, 534, -84]), 'RightEye': array([490, 535, -84]), 'RightEyeOuter': array([478, 536, -84]), 'LeftEar': array([579, 559, -16]), 'RightEar': array([462, 566, -17]), 'MouthLeft': array([544, 593, -71]), 'MouthRight': array([499, 595, -71]), 'LeftShoulder': array([685, 739,  10]), 'RightShoulder': array([368, 752,   3]), 'LeftElbow': array([918, 741, -32]), 'RightElbow': array([149, 761, -11]), 'LeftWrist': array([1077,  776, -113]), 'RightWrist': array([-17, 822, -70]), 'LeftPinky': array([1136,  785, -129]), 'RightPinky': array([-77, 842, -85]), 'LeftIndex': array([1119,  787, -148]), 'RightIndex': array([ -62,  842, -107]), 'LeftThumb': array([1094,  794, -125]), 'RightThumb': array([-37, 846, -83]), 'LeftHip': array([ 646, 1265,    0]), 'RightHip': array([ 457, 1269,    0]), 'LeftKnee': array([ 699, 1611,  -13]), 'RightKnee': array([ 431, 1608,    9]), 'LeftAnkle': array([ 687, 1931,   81]), 'RightAnkle': array([ 425, 1920,  109]), 'LeftHeel': array([ 665, 1972,   86]), 'RightHeel': array([ 444, 1964,  115]), 'LeftFootIndex': array([ 719, 2044,    5]), 'RightFootIndex': array([ 392, 2030,   30])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame298_red.jpg,0.9990234375,"{'Nose': array([518, 552, -77]), 'LeftEyeInner': array([535, 533, -65]), 'LeftEye': array([547, 533, -65]), 'LeftEyeOuter': array([558, 533, -65]), 'RightEyeInner': array([502, 534, -65]), 'RightEye': array([492, 536, -65]), 'RightEyeOuter': array([481, 537, -65]), 'LeftEar': array([578, 563,  -2]), 'RightEar': array([466, 567,   1]), 'MouthLeft': array([542, 592, -53]), 'MouthRight': array([499, 594, -52]), 'LeftShoulder': array([684, 739,  19]), 'RightShoulder': array([374, 748,  20]), 'LeftElbow': array([907, 730, -23]), 'RightElbow': array([174, 749, -23]), 'LeftWrist': array([1056,  757,  -94]), 'RightWrist': array([  36,  798, -132]), 'LeftPinky': array([1111,  767, -109]), 'RightPinky': array([ -18,  820, -156]), 'LeftIndex': array([1092,  769, -130]), 'RightIndex': array([   5,  816, -173]), 'LeftThumb': array([1068,  776, -106]), 'RightThumb': array([  26,  818, -145]), 'LeftHip': array([ 644, 1267,    0]), 'RightHip': array([ 456, 1270,    1]), 'LeftKnee': array([ 705, 1615,  -40]), 'RightKnee': array([ 429, 1606,    0]), 'LeftAnkle': array([ 687, 1942,   46]), 'RightAnkle': array([ 423, 1915,   99]), 'LeftHeel': array([ 663, 1981,   50]), 'RightHeel': array([ 441, 1957,  104]), 'LeftFootIndex': array([ 719, 2062,  -31]), 'RightFootIndex': array([ 391, 2027,   21])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame299_red.jpg,0.998046875,"{'Nose': array([518, 557, -97]), 'LeftEyeInner': array([532, 535, -85]), 'LeftEye': array([544, 534, -85]), 'LeftEyeOuter': array([556, 534, -85]), 'RightEyeInner': array([498, 538, -85]), 'RightEye': array([488, 539, -85]), 'RightEyeOuter': array([475, 541, -85]), 'LeftEar': array([574, 560, -14]), 'RightEar': array([459, 570, -15]), 'MouthLeft': array([542, 595, -71]), 'MouthRight': array([498, 599, -71]), 'LeftShoulder': array([687, 737,  14]), 'RightShoulder': array([371, 749,   4]), 'LeftElbow': array([915, 723,  -6]), 'RightElbow': array([162, 740, -58]), 'LeftWrist': array([1086,  743,  -52]), 'RightWrist': array([  26,  788, -188]), 'LeftPinky': array([1145,  749,  -62]), 'RightPinky': array([ -29,  809, -214]), 'LeftIndex': array([1134,  752,  -84]), 'RightIndex': array([  -4,  804, -230]), 'LeftThumb': array([1108,  760,  -63]), 'RightThumb': array([  17,  806, -202]), 'LeftHip': array([ 648, 1265,    0]), 'RightHip': array([ 460, 1270,    0]), 'LeftKnee': array([ 692, 1602,  -16]), 'RightKnee': array([ 436, 1606,    1]), 'LeftAnkle': array([ 681, 1923,   77]), 'RightAnkle': array([ 431, 1921,   95]), 'LeftHeel': array([ 662, 1966,   82]), 'RightHeel': array([ 450, 1966,   99]), 'LeftFootIndex': array([ 707, 2035,    0]), 'RightFootIndex': array([ 400, 2025,   10])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame300_red.jpg,0.9990234375,"{'Nose': array([516, 555, -88]), 'LeftEyeInner': array([531, 535, -77]), 'LeftEye': array([542, 535, -77]), 'LeftEyeOuter': array([552, 535, -77]), 'RightEyeInner': array([498, 538, -77]), 'RightEye': array([488, 540, -77]), 'RightEyeOuter': array([477, 542, -77]), 'LeftEar': array([572, 563, -10]), 'RightEar': array([462, 571,  -7]), 'MouthLeft': array([538, 594, -63]), 'MouthRight': array([497, 597, -63]), 'LeftShoulder': array([680, 735,  14]), 'RightShoulder': array([371, 749,  13]), 'LeftElbow': array([900, 721, -39]), 'RightElbow': array([167, 739, -47]), 'LeftWrist': array([1044,  741, -130]), 'RightWrist': array([  19,  778, -177]), 'LeftPinky': array([1097,  750, -149]), 'RightPinky': array([ -41,  799, -204]), 'LeftIndex': array([1079,  754, -168]), 'RightIndex': array([ -16,  796, -221]), 'LeftThumb': array([1055,  761, -142]), 'RightThumb': array([   7,  798, -190]), 'LeftHip': array([ 640, 1267,    0]), 'RightHip': array([ 451, 1272,    0]), 'LeftKnee': array([ 696, 1610,  -41]), 'RightKnee': array([ 429, 1616,   -8]), 'LeftAnkle': array([ 684, 1925,   69]), 'RightAnkle': array([ 428, 1932,   94]), 'LeftHeel': array([ 662, 1966,   76]), 'RightHeel': array([ 447, 1976,  100]), 'LeftFootIndex': array([ 717, 2040,   -7]), 'RightFootIndex': array([ 401, 2043,    9])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame301_red.jpg,0.9990234375,"{'Nose': array([516, 558, -91]), 'LeftEyeInner': array([533, 538, -80]), 'LeftEye': array([545, 537, -80]), 'LeftEyeOuter': array([555, 538, -80]), 'RightEyeInner': array([500, 540, -79]), 'RightEye': array([490, 541, -79]), 'RightEyeOuter': array([479, 542, -79]), 'LeftEar': array([577, 565, -12]), 'RightEar': array([465, 571,  -9]), 'MouthLeft': array([539, 597, -65]), 'MouthRight': array([498, 599, -65]), 'LeftShoulder': array([685, 735,  15]), 'RightShoulder': array([379, 751,  12]), 'LeftElbow': array([899, 716, -30]), 'RightElbow': array([183, 752, -59]), 'LeftWrist': array([1044,  739, -108]), 'RightWrist': array([  28,  785, -208]), 'LeftPinky': array([1098,  749, -125]), 'RightPinky': array([ -34,  803, -238]), 'LeftIndex': array([1081,  754, -145]), 'RightIndex': array([  -8,  797, -256]), 'LeftThumb': array([1057,  761, -119]), 'RightThumb': array([  16,  801, -222]), 'LeftHip': array([ 648, 1266,    0]), 'RightHip': array([ 460, 1271,    0]), 'LeftKnee': array([ 699, 1606,  -40]), 'RightKnee': array([ 433, 1614,   -8]), 'LeftAnkle': array([ 686, 1926,   60]), 'RightAnkle': array([ 430, 1932,   85]), 'LeftHeel': array([ 665, 1967,   66]), 'RightHeel': array([ 450, 1976,   89]), 'LeftFootIndex': array([ 715, 2041,  -17]), 'RightFootIndex': array([ 402, 2041,   -1])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame302_red.jpg,0.998046875,"{'Nose': array([522, 555, -98]), 'LeftEyeInner': array([536, 533, -86]), 'LeftEye': array([547, 532, -86]), 'LeftEyeOuter': array([558, 531, -86]), 'RightEyeInner': array([502, 537, -87]), 'RightEye': array([490, 539, -87]), 'RightEyeOuter': array([478, 542, -87]), 'LeftEar': array([577, 558, -17]), 'RightEar': array([461, 573, -22]), 'MouthLeft': array([547, 594, -73]), 'MouthRight': array([502, 599, -74]), 'LeftShoulder': array([690, 734,   9]), 'RightShoulder': array([373, 754,  -4]), 'LeftElbow': array([924, 717, -31]), 'RightElbow': array([145, 738, -44]), 'LeftWrist': array([1084,  742, -105]), 'RightWrist': array([  -7,  793, -131]), 'LeftPinky': array([1141,  748, -120]), 'RightPinky': array([ -64,  814, -150]), 'LeftIndex': array([1124,  750, -139]), 'RightIndex': array([ -44,  813, -169]), 'LeftThumb': array([1102,  760, -117]), 'RightThumb': array([ -22,  818, -143]), 'LeftHip': array([ 654, 1264,    1]), 'RightHip': array([ 468, 1271,   -1]), 'LeftKnee': array([ 701, 1605,  -11]), 'RightKnee': array([ 454, 1603,   17]), 'LeftAnkle': array([ 690, 1913,   92]), 'RightAnkle': array([ 454, 1902,  136]), 'LeftHeel': array([ 670, 1952,   98]), 'RightHeel': array([ 471, 1940,  143]), 'LeftFootIndex': array([ 714, 2028,   16]), 'RightFootIndex': array([ 435, 2013,   59])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame303_red.jpg,0.998046875,"{'Nose': array([522, 555, -84]), 'LeftEyeInner': array([536, 535, -73]), 'LeftEye': array([547, 534, -73]), 'LeftEyeOuter': array([558, 534, -73]), 'RightEyeInner': array([503, 538, -73]), 'RightEye': array([491, 540, -73]), 'RightEyeOuter': array([480, 542, -73]), 'LeftEar': array([575, 562, -11]), 'RightEar': array([463, 573, -12]), 'MouthLeft': array([546, 594, -61]), 'MouthRight': array([502, 598, -62]), 'LeftShoulder': array([684, 734,   9]), 'RightShoulder': array([376, 753,   4]), 'LeftElbow': array([915, 719, -13]), 'RightElbow': array([161, 737, -24]), 'LeftWrist': array([1077,  755,  -62]), 'RightWrist': array([   2,  785, -100]), 'LeftPinky': array([1133,  765,  -72]), 'RightPinky': array([ -57,  804, -118]), 'LeftIndex': array([1120,  768,  -93]), 'RightIndex': array([ -40,  804, -137]), 'LeftThumb': array([1095,  776,  -73]), 'RightThumb': array([ -17,  809, -113]), 'LeftHip': array([ 649, 1262,    0]), 'RightHip': array([ 464, 1270,    0]), 'LeftKnee': array([ 697, 1599,  -19]), 'RightKnee': array([ 444, 1598,   12]), 'LeftAnkle': array([ 683, 1914,   76]), 'RightAnkle': array([ 440, 1900,  120]), 'LeftHeel': array([ 664, 1953,   81]), 'RightHeel': array([ 457, 1940,  127]), 'LeftFootIndex': array([ 706, 2030,    0]), 'RightFootIndex': array([ 413, 2011,   44])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame304_red.jpg,0.99609375,"{'Nose': array([ 523,  553, -111]), 'LeftEyeInner': array([538, 531, -98]), 'LeftEye': array([550, 530, -98]), 'LeftEyeOuter': array([561, 529, -98]), 'RightEyeInner': array([503, 534, -99]), 'RightEye': array([ 491,  536, -100]), 'RightEyeOuter': array([ 479,  538, -100]), 'LeftEar': array([579, 557, -29]), 'RightEar': array([463, 569, -34]), 'MouthLeft': array([549, 592, -84]), 'MouthRight': array([504, 597, -86]), 'LeftShoulder': array([690, 736,   0]), 'RightShoulder': array([373, 751, -14]), 'LeftElbow': array([931, 716, -38]), 'RightElbow': array([139, 735, -35]), 'LeftWrist': array([1089,  736, -114]), 'RightWrist': array([-25, 793, -95]), 'LeftPinky': array([1145,  742, -128]), 'RightPinky': array([ -83,  814, -110]), 'LeftIndex': array([1131,  744, -147]), 'RightIndex': array([ -66,  816, -132]), 'LeftThumb': array([1106,  753, -125]), 'RightThumb': array([ -43,  820, -109]), 'LeftHip': array([ 652, 1270,    1]), 'RightHip': array([ 463, 1275,   -1]), 'LeftKnee': array([ 699, 1613,  -13]), 'RightKnee': array([ 440, 1608,   13]), 'LeftAnkle': array([ 689, 1926,   94]), 'RightAnkle': array([ 441, 1912,  129]), 'LeftHeel': array([ 669, 1964,  101]), 'RightHeel': array([ 458, 1952,  137]), 'LeftFootIndex': array([ 710, 2043,   19]), 'RightFootIndex': array([ 418, 2024,   51])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\red\subject1_scenario1_frame305_red.jpg,0.99609375,"{'Nose': array([521, 556, -95]), 'LeftEyeInner': array([535, 534, -84]), 'LeftEye': array([546, 533, -84]), 'LeftEyeOuter': array([557, 533, -84]), 'RightEyeInner': array([502, 538, -84]), 'RightEye': array([490, 539, -84]), 'RightEyeOuter': array([478, 542, -84]), 'LeftEar': array([577, 560, -17]), 'RightEar': array([462, 572, -19]), 'MouthLeft': array([546, 594, -71]), 'MouthRight': array([502, 599, -71]), 'LeftShoulder': array([690, 734,   8]), 'RightShoulder': array([373, 754,   0]), 'LeftElbow': array([927, 716, -30]), 'RightElbow': array([151, 741, -31]), 'LeftWrist': array([1081,  752, -103]), 'RightWrist': array([   5,  802, -109]), 'LeftPinky': array([1138,  763, -118]), 'RightPinky': array([ -49,  827, -126]), 'LeftIndex': array([1119,  766, -137]), 'RightIndex': array([ -28,  827, -146]), 'LeftThumb': array([1096,  773, -115]), 'RightThumb': array([  -7,  829, -122]), 'LeftHip': array([ 651, 1268,    0]), 'RightHip': array([ 463, 1276,    0]), 'LeftKnee': array([ 698, 1610,  -18]), 'RightKnee': array([ 447, 1612,    5]), 'LeftAnkle': array([ 686, 1919,   95]), 'RightAnkle': array([ 447, 1918,  117]), 'LeftHeel': array([ 665, 1957,  102]), 'RightHeel': array([ 465, 1960,  124]), 'LeftFootIndex': array([ 713, 2034,   21]), 'RightFootIndex': array([ 421, 2028,   37])}"
