File,DetectionScore,Landmarks
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame562_yellow.jpg,0.994140625,"{'Nose': array([523, 559, -95]), 'LeftEyeInner': array([540, 535, -77]), 'LeftEye': array([553, 535, -78]), 'LeftEyeOuter': array([565, 534, -78]), 'RightEyeInner': array([503, 537, -77]), 'RightEye': array([492, 538, -77]), 'RightEyeOuter': array([479, 540, -77]), 'LeftEar': array([587, 561,   0]), 'RightEar': array([463, 569,   3]), 'MouthLeft': array([551, 598, -68]), 'MouthRight': array([503, 601, -67]), 'LeftShoulder': array([697, 745,  31]), 'RightShoulder': array([371, 751,  25]), 'LeftElbow': array([952, 693, -15]), 'RightElbow': array([122, 672,   8]), 'LeftWrist': array([937, 449, -58]), 'RightWrist': array([121, 488, -35]), 'LeftPinky': array([934, 381, -75]), 'RightPinky': array([113, 436, -55]), 'LeftIndex': array([903, 373, -65]), 'RightIndex': array([148, 438, -52]), 'LeftThumb': array([896, 403, -57]), 'RightThumb': array([157, 462, -38]), 'LeftHip': array([ 644, 1278,   -2]), 'RightHip': array([ 448, 1279,    2]), 'LeftKnee': array([ 703, 1644,  -37]), 'RightKnee': array([ 434, 1638,   13]), 'LeftAnkle': array([ 692, 1979,   59]), 'RightAnkle': array([ 426, 1952,  140]), 'LeftHeel': array([ 676, 2021,   65]), 'RightHeel': array([ 442, 1991,  149]), 'LeftFootIndex': array([ 708, 2103,  -20]), 'RightFootIndex': array([ 404, 2073,   66])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame563_yellow.jpg,0.9912109375,"{'Nose': array([515, 548, -77]), 'LeftEyeInner': array([533, 524, -59]), 'LeftEye': array([546, 524, -59]), 'LeftEyeOuter': array([559, 524, -59]), 'RightEyeInner': array([496, 525, -58]), 'RightEye': array([484, 526, -58]), 'RightEyeOuter': array([471, 527, -58]), 'LeftEar': array([580, 555,  15]), 'RightEar': array([455, 558,  21]), 'MouthLeft': array([542, 589, -51]), 'MouthRight': array([493, 589, -50]), 'LeftShoulder': array([686, 740,  35]), 'RightShoulder': array([367, 742,  39]), 'LeftElbow': array([934, 675, -17]), 'RightElbow': array([115, 660,  18]), 'LeftWrist': array([893, 438, -44]), 'RightWrist': array([173, 481, -15]), 'LeftPinky': array([883, 374, -61]), 'RightPinky': array([182, 432, -34]), 'LeftIndex': array([853, 369, -47]), 'RightIndex': array([220, 436, -25]), 'LeftThumb': array([848, 398, -41]), 'RightThumb': array([224, 460, -15]), 'LeftHip': array([ 644, 1280,   -6]), 'RightHip': array([ 450, 1281,    6]), 'LeftKnee': array([ 708, 1631,  -40]), 'RightKnee': array([ 426, 1628,   27]), 'LeftAnkle': array([ 681, 1948,   58]), 'RightAnkle': array([ 417, 1927,  152]), 'LeftHeel': array([ 662, 1985,   65]), 'RightHeel': array([ 434, 1966,  162]), 'LeftFootIndex': array([ 697, 2076,  -11]), 'RightFootIndex': array([ 381, 2048,   89])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame564_yellow.jpg,0.97998046875,"{'Nose': array([508, 546, -68]), 'LeftEyeInner': array([526, 523, -49]), 'LeftEye': array([539, 523, -49]), 'LeftEyeOuter': array([552, 523, -49]), 'RightEyeInner': array([489, 525, -48]), 'RightEye': array([477, 527, -48]), 'RightEyeOuter': array([464, 528, -48]), 'LeftEar': array([575, 554,  26]), 'RightEar': array([449, 561,  31]), 'MouthLeft': array([536, 587, -41]), 'MouthRight': array([487, 589, -40]), 'LeftShoulder': array([683, 737,  49]), 'RightShoulder': array([366, 747,  46]), 'LeftElbow': array([936, 671,  -7]), 'RightElbow': array([116, 677,  22]), 'LeftWrist': array([872, 439, -34]), 'RightWrist': array([199, 502,  -6]), 'LeftPinky': array([857, 376, -51]), 'RightPinky': array([217, 454, -24]), 'LeftIndex': array([823, 374, -35]), 'RightIndex': array([256, 458, -13]), 'LeftThumb': array([822, 403, -30]), 'RightThumb': array([255, 481,  -4]), 'LeftHip': array([ 645, 1266,   -2]), 'RightHip': array([ 451, 1269,    2]), 'LeftKnee': array([ 699, 1633,  -42]), 'RightKnee': array([ 423, 1631,    8]), 'LeftAnkle': array([ 677, 1962,   44]), 'RightAnkle': array([ 415, 1950,  114]), 'LeftHeel': array([ 656, 2003,   50]), 'RightHeel': array([ 434, 1995,  121]), 'LeftFootIndex': array([ 712, 2084,  -26]), 'RightFootIndex': array([ 376, 2070,   44])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame565_yellow.jpg,0.98828125,"{'Nose': array([507, 540, -79]), 'LeftEyeInner': array([527, 519, -60]), 'LeftEye': array([540, 519, -60]), 'LeftEyeOuter': array([552, 519, -60]), 'RightEyeInner': array([490, 521, -59]), 'RightEye': array([478, 522, -59]), 'RightEyeOuter': array([465, 523, -59]), 'LeftEar': array([575, 551,  20]), 'RightEar': array([451, 557,  25]), 'MouthLeft': array([535, 581, -51]), 'MouthRight': array([486, 583, -50]), 'LeftShoulder': array([687, 734,  49]), 'RightShoulder': array([366, 745,  41]), 'LeftElbow': array([952, 646,  -6]), 'RightElbow': array([128, 666,   3]), 'LeftWrist': array([860, 429, -19]), 'RightWrist': array([234, 507, -32]), 'LeftPinky': array([840, 366, -34]), 'RightPinky': array([258, 462, -52]), 'LeftIndex': array([805, 372, -16]), 'RightIndex': array([297, 468, -37]), 'LeftThumb': array([806, 400, -14]), 'RightThumb': array([295, 491, -29]), 'LeftHip': array([ 652, 1259,    0]), 'RightHip': array([ 454, 1263,    0]), 'LeftKnee': array([ 705, 1616,  -43]), 'RightKnee': array([ 423, 1625,    7]), 'LeftAnkle': array([ 681, 1948,   49]), 'RightAnkle': array([ 408, 1953,  113]), 'LeftHeel': array([ 659, 1992,   55]), 'RightHeel': array([ 425, 1997,  121]), 'LeftFootIndex': array([ 721, 2067,  -21]), 'RightFootIndex': array([ 378, 2073,   38])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame566_yellow.jpg,0.9970703125,"{'Nose': array([515, 540, -95]), 'LeftEyeInner': array([534, 520, -76]), 'LeftEye': array([547, 520, -76]), 'LeftEyeOuter': array([559, 520, -76]), 'RightEyeInner': array([498, 521, -75]), 'RightEye': array([486, 523, -75]), 'RightEyeOuter': array([473, 525, -75]), 'LeftEar': array([583, 552,  10]), 'RightEar': array([458, 558,  13]), 'MouthLeft': array([543, 581, -65]), 'MouthRight': array([495, 583, -65]), 'LeftShoulder': array([690, 737,  46]), 'RightShoulder': array([373, 749,  31]), 'LeftElbow': array([942, 653,  -8]), 'RightElbow': array([134, 668, -30]), 'LeftWrist': array([851, 441, -27]), 'RightWrist': array([ 232,  501, -105]), 'LeftPinky': array([828, 381, -42]), 'RightPinky': array([ 252,  457, -131]), 'LeftIndex': array([798, 390, -27]), 'RightIndex': array([ 291,  461, -116]), 'LeftThumb': array([800, 417, -23]), 'RightThumb': array([ 289,  484, -102]), 'LeftHip': array([ 653, 1271,    0]), 'RightHip': array([ 452, 1272,    0]), 'LeftKnee': array([ 681, 1646,  -45]), 'RightKnee': array([ 417, 1644,    8]), 'LeftAnkle': array([ 660, 1988,   63]), 'RightAnkle': array([ 403, 1980,  132]), 'LeftHeel': array([ 643, 2036,   70]), 'RightHeel': array([ 416, 2025,  140]), 'LeftFootIndex': array([ 694, 2102,   -9]), 'RightFootIndex': array([ 380, 2102,   51])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame567_yellow.jpg,0.998046875,"{'Nose': array([ 520,  538, -113]), 'LeftEyeInner': array([539, 518, -93]), 'LeftEye': array([551, 518, -93]), 'LeftEyeOuter': array([563, 518, -93]), 'RightEyeInner': array([501, 519, -92]), 'RightEye': array([488, 521, -93]), 'RightEyeOuter': array([476, 523, -93]), 'LeftEar': array([585, 551,  -5]), 'RightEar': array([459, 557,  -1]), 'MouthLeft': array([546, 581, -82]), 'MouthRight': array([497, 583, -81]), 'LeftShoulder': array([693, 740,  27]), 'RightShoulder': array([369, 750,  16]), 'LeftElbow': array([940, 647, -40]), 'RightElbow': array([123, 657, -72]), 'LeftWrist': array([848, 436, -66]), 'RightWrist': array([ 230,  498, -176]), 'LeftPinky': array([825, 379, -83]), 'RightPinky': array([ 248,  459, -207]), 'LeftIndex': array([794, 387, -68]), 'RightIndex': array([ 293,  465, -189]), 'LeftThumb': array([796, 414, -62]), 'RightThumb': array([ 292,  487, -174]), 'LeftHip': array([ 656, 1286,    0]), 'RightHip': array([ 449, 1289,    0]), 'LeftKnee': array([ 698, 1656,  -46]), 'RightKnee': array([ 410, 1658,   13]), 'LeftAnkle': array([ 671, 1987,   80]), 'RightAnkle': array([ 402, 1990,  149]), 'LeftHeel': array([ 650, 2032,   89]), 'RightHeel': array([ 417, 2036,  159]), 'LeftFootIndex': array([ 708, 2107,   12]), 'RightFootIndex': array([ 372, 2110,   72])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame568_yellow.jpg,0.9951171875,"{'Nose': array([523, 541, -95]), 'LeftEyeInner': array([541, 519, -75]), 'LeftEye': array([553, 519, -75]), 'LeftEyeOuter': array([566, 519, -75]), 'RightEyeInner': array([504, 521, -75]), 'RightEye': array([491, 523, -75]), 'RightEyeOuter': array([479, 525, -75]), 'LeftEar': array([587, 550,  10]), 'RightEar': array([463, 558,  11]), 'MouthLeft': array([550, 582, -65]), 'MouthRight': array([502, 584, -65]), 'LeftShoulder': array([695, 735,  46]), 'RightShoulder': array([375, 746,  27]), 'LeftElbow': array([942, 644,   2]), 'RightElbow': array([127, 642, -20]), 'LeftWrist': array([852, 426,  -5]), 'RightWrist': array([231, 484, -67]), 'LeftPinky': array([827, 367, -18]), 'RightPinky': array([251, 443, -90]), 'LeftIndex': array([800, 375,  -3]), 'RightIndex': array([292, 451, -75]), 'LeftThumb': array([801, 403,  -1]), 'RightThumb': array([289, 473, -65]), 'LeftHip': array([ 658, 1280,    0]), 'RightHip': array([ 457, 1283,    0]), 'LeftKnee': array([ 698, 1652,  -45]), 'RightKnee': array([ 420, 1648,   10]), 'LeftAnkle': array([ 677, 1982,   67]), 'RightAnkle': array([ 412, 1974,  139]), 'LeftHeel': array([ 657, 2028,   75]), 'RightHeel': array([ 427, 2019,  148]), 'LeftFootIndex': array([ 718, 2102,   -3]), 'RightFootIndex': array([ 386, 2099,   62])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame569_yellow.jpg,0.9921875,"{'Nose': array([519, 555, -62]), 'LeftEyeInner': array([538, 532, -42]), 'LeftEye': array([550, 532, -42]), 'LeftEyeOuter': array([562, 532, -42]), 'RightEyeInner': array([500, 534, -42]), 'RightEye': array([488, 536, -42]), 'RightEyeOuter': array([475, 538, -42]), 'LeftEar': array([584, 561,  36]), 'RightEar': array([460, 569,  38]), 'MouthLeft': array([548, 594, -34]), 'MouthRight': array([499, 597, -34]), 'LeftShoulder': array([692, 741,  60]), 'RightShoulder': array([377, 750,  50]), 'LeftElbow': array([939, 658,   4]), 'RightElbow': array([136, 656,  26]), 'LeftWrist': array([852, 442, -13]), 'RightWrist': array([233, 485,   9]), 'LeftPinky': array([830, 382, -29]), 'RightPinky': array([253, 439,  -8]), 'LeftIndex': array([797, 387, -12]), 'RightIndex': array([290, 448,   3]), 'LeftThumb': array([799, 414,  -9]), 'RightThumb': array([288, 471,  11]), 'LeftHip': array([ 655, 1273,   -1]), 'RightHip': array([ 457, 1275,    2]), 'LeftKnee': array([ 687, 1648,  -46]), 'RightKnee': array([ 426, 1648,    5]), 'LeftAnkle': array([ 666, 1984,   41]), 'RightAnkle': array([ 416, 1965,  120]), 'LeftHeel': array([ 648, 2029,   46]), 'RightHeel': array([ 431, 2005,  128]), 'LeftFootIndex': array([ 700, 2102,  -27]), 'RightFootIndex': array([ 387, 2088,   53])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame570_yellow.jpg,0.9912109375,"{'Nose': array([519, 546, -89]), 'LeftEyeInner': array([536, 524, -70]), 'LeftEye': array([549, 524, -70]), 'LeftEyeOuter': array([561, 523, -70]), 'RightEyeInner': array([499, 528, -69]), 'RightEye': array([487, 530, -69]), 'RightEyeOuter': array([475, 532, -69]), 'LeftEar': array([585, 553,  11]), 'RightEar': array([461, 565,  17]), 'MouthLeft': array([548, 586, -60]), 'MouthRight': array([499, 590, -59]), 'LeftShoulder': array([698, 735,  42]), 'RightShoulder': array([378, 750,  37]), 'LeftElbow': array([945, 646, -10]), 'RightElbow': array([127, 655,  11]), 'LeftWrist': array([859, 432, -30]), 'RightWrist': array([216, 494, -21]), 'LeftPinky': array([838, 373, -47]), 'RightPinky': array([235, 452, -41]), 'LeftIndex': array([806, 378, -32]), 'RightIndex': array([273, 459, -30]), 'LeftThumb': array([806, 405, -27]), 'RightThumb': array([271, 481, -20]), 'LeftHip': array([ 656, 1272,   -3]), 'RightHip': array([ 457, 1274,    3]), 'LeftKnee': array([ 694, 1637,  -44]), 'RightKnee': array([ 423, 1638,   16]), 'LeftAnkle': array([ 672, 1967,   58]), 'RightAnkle': array([ 414, 1958,  143]), 'LeftHeel': array([ 654, 2012,   64]), 'RightHeel': array([ 431, 2001,  152]), 'LeftFootIndex': array([ 700, 2087,  -16]), 'RightFootIndex': array([ 382, 2079,   69])}"
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\yellow\subject1_scenario1_frame571_yellow.jpg,0.98388671875,"{'Nose': array([515, 547, -74]), 'LeftEyeInner': array([534, 526, -54]), 'LeftEye': array([546, 527, -54]), 'LeftEyeOuter': array([559, 527, -54]), 'RightEyeInner': array([498, 527, -53]), 'RightEye': array([485, 529, -54]), 'RightEyeOuter': array([472, 530, -53]), 'LeftEar': array([580, 558,  25]), 'RightEar': array([457, 562,  29]), 'MouthLeft': array([542, 588, -46]), 'MouthRight': array([494, 589, -45]), 'LeftShoulder': array([688, 737,  49]), 'RightShoulder': array([367, 747,  48]), 'LeftElbow': array([947, 659, -12]), 'RightElbow': array([125, 662,  27]), 'LeftWrist': array([864, 436, -38]), 'RightWrist': array([207, 489,   0]), 'LeftPinky': array([845, 375, -55]), 'RightPinky': array([223, 441, -18]), 'LeftIndex': array([809, 378, -38]), 'RightIndex': array([261, 449,  -7]), 'LeftThumb': array([810, 406, -34]), 'RightThumb': array([261, 472,   1]), 'LeftHip': array([ 650, 1277,   -6]), 'RightHip': array([ 451, 1279,    7]), 'LeftKnee': array([ 691, 1647,  -49]), 'RightKnee': array([ 416, 1643,   25]), 'LeftAnkle': array([ 675, 1977,   40]), 'RightAnkle': array([ 405, 1960,  148]), 'LeftHeel': array([ 658, 2021,   46]), 'RightHeel': array([ 423, 2006,  157]), 'LeftFootIndex': array([ 704, 2098,  -31]), 'RightFootIndex': array([ 361, 2080,   80])}"
