File,Blue Score,Green Score,Pink Score,Yellow Score,Purple Score,Red Score,Blue Time,Green Time,Pink Time,Yellow Time,Purple Time,Red Time
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame643_green.jpg,0,1,0.166666672,0.25,0.5,0.25,0.0083999999999999995,0.002,0.0030999999999999999,0.0019,0.002,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame644_green.jpg,0,1,0.166666672,0.25,0.5,0.25,0.0067999999999999996,0.0023999999999999998,0.0033999999999999998,0.002,0.0020999999999999999,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame645_green.jpg,0,1,0.333333343,0.5,0.25,0.5,0.0070000000000000001,0.0027000000000000001,0.0032000000000000002,0.0018,0.002,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame646_green.jpg,0,1,0.333333343,0.5,0.25,0.5,0.0043,0.0018,0.0030000000000000001,0.0018,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame647_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0051000000000000004,0.0018,0.0027000000000000001,0.0019,0.002,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame648_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0038999999999999998,0.0019,0.0028999999999999998,0.0019,0.0020999999999999999,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame649_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0044999999999999997,0.002,0.0028999999999999998,0.0019,0.002,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame650_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0047999999999999996,0.0018,0.0025999999999999999,0.0018,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame651_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0044000000000000003,0.0018,0.0025999999999999999,0.0018,0.0022000000000000001,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame652_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0051000000000000004,0.0020999999999999999,0.0030999999999999999,0.0020999999999999999,0.0023,0.0020999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame653_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0051999999999999998,0.0022000000000000001,0.0030999999999999999,0.0022000000000000001,0.0041999999999999997,0.0020999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame654_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0038,0.0016999999999999999,0.0025999999999999999,0.0018,0.0016999999999999999,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame655_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0035000000000000001,0.0018,0.0025000000000000001,0.0016999999999999999,0.0016999999999999999,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame656_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0038999999999999998,0.0016999999999999999,0.0025000000000000001,0.0016999999999999999,0.0016999999999999999,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame657_green.jpg,0,0.75,0.333333343,0.5,0.25,0.5,0.0050000000000000001,0.0022000000000000001,0.0032000000000000002,0.0022000000000000001,0.0022000000000000001,0.0020999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame658_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0047999999999999996,0.0022000000000000001,0.0032000000000000002,0.002,0.0020999999999999999,0.0020999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame659_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0044999999999999997,0.0019,0.0028999999999999998,0.0018,0.002,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame660_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0045999999999999999,0.0019,0.0028999999999999998,0.0020999999999999999,0.0020999999999999999,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame661_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0045999999999999999,0.0019,0.0028999999999999998,0.0019,0.0038,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame662_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0041000000000000003,0.0019,0.0028,0.0019,0.002,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame663_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0035999999999999999,0.0019,0.0028,0.0018,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame664_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0044000000000000003,0.0019,0.0028999999999999998,0.002,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame665_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0047999999999999996,0.0018,0.0028999999999999998,0.0019,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame666_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0040000000000000001,0.0018,0.0028,0.0019,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame667_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0041999999999999997,0.0023999999999999998,0.0028,0.0019,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame668_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0057000000000000002,0.0023,0.0033,0.0023,0.0023,0.0023
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame669_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.018700000000000001,0.0051999999999999998,0.0076,0.0028999999999999998,0.0041000000000000003,0.0077999999999999996
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame670_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0060000000000000001,0.0022000000000000001,0.0033999999999999998,0.0050000000000000001,0.0023,0.0022000000000000001
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame671_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0047000000000000002,0.0018,0.0028999999999999998,0.0018,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario1_frame672_green.jpg,0,0.5,0.333333343,0.5,0.25,0.5,0.0041999999999999997,0.0018,0.0025000000000000001,0.0016999999999999999,0.0018,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame393_green.jpg,0,0.5,0.166666672,0.25,0.5,0.25,0.0057999999999999996,0.0023999999999999998,0.0033999999999999998,0.0023999999999999998,0.0025000000000000001,0.0025000000000000001
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame394_green.jpg,0,0.5,0.166666672,0.25,0.5,0.25,0.0038999999999999998,0.0016999999999999999,0.0025000000000000001,0.0018,0.0018,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame395_green.jpg,0,0.5,0.166666672,0.25,0.5,0.25,0.0043,0.0018,0.0025999999999999999,0.0018,0.0019,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame396_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0054999999999999997,0.0018,0.0027000000000000001,0.0018,0.0019,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame397_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0051000000000000004,0.0018,0.0027000000000000001,0.002,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame398_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0058999999999999999,0.0018,0.0027000000000000001,0.0018,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame399_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.025999999999999999,0.0037000000000000002,0.0067999999999999996,0.0057000000000000002,0.0047999999999999996,0.0053
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame400_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0099000000000000008,0.0025999999999999999,0.0040000000000000001,0.0027000000000000001,0.0053,0.0028
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame401_green.jpg,0,0.5,0.166666672,0.25,0.25,0.5,0.0047000000000000002,0.0018,0.0028,0.0018,0.0019,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame402_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0054000000000000003,0.002,0.0030000000000000001,0.0022000000000000001,0.0020999999999999999,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame403_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0041999999999999997,0.0019,0.0028999999999999998,0.0020999999999999999,0.0020999999999999999,0.0025999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame405_green.jpg,0,0.5,0,0,0.25,0.25,0.0044999999999999997,0.0019,0.0028999999999999998,0.0019,0.0019,0.002
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame406_green.jpg,0,0.5,0.333333343,0.5,0,0.75,0.0043,0.0019,0.0028,0.0019,0.0018,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame407_green.jpg,0,0.5,0.166666672,0.25,0,0.5,0.0041000000000000003,0.0019,0.0027000000000000001,0.0019,0.0020999999999999999,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame408_green.jpg,0,0.5,0.166666672,0.25,0.25,0.5,0.0041999999999999997,0.0019,0.0027000000000000001,0.0016999999999999999,0.0033999999999999998,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame409_green.jpg,0,0.5,0,0,0.25,0.25,0.0041000000000000003,0.0018,0.0025000000000000001,0.0016999999999999999,0.0016999999999999999,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame410_green.jpg,0,0.5,0.166666672,0.25,0.25,0.5,0.0041000000000000003,0.0016000000000000001,0.0027000000000000001,0.0018,0.0018,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame411_green.jpg,0,0.5,0,0,0.25,0.25,0.0067000000000000002,0.002,0.0030000000000000001,0.002,0.0022000000000000001,0.0020999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame412_green.jpg,0,0.5,0,0,0.25,0.25,0.0043,0.0016999999999999999,0.0027000000000000001,0.0019,0.0019,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame413_green.jpg,0,0.5,0,0,0.25,0.25,0.0032000000000000002,0.0016999999999999999,0.0025000000000000001,0.0016999999999999999,0.0018,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame414_green.jpg,0,0.5,0,0,0.25,0.25,0.0033,0.0016999999999999999,0.0025999999999999999,0.0016999999999999999,0.0016999999999999999,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame415_green.jpg,0,0.5,0,0,0.25,0.25,0.0044000000000000003,0.0050000000000000001,0.0025999999999999999,0.0018,0.0018,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame416_green.jpg,0.25,0.5,0,0,0.25,0,0.0043,0.0018,0.0028,0.0019,0.0018,0.0019
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame417_green.jpg,0,0.5,0,0,0.25,0.25,0.0037000000000000002,0.0018,0.0025000000000000001,0.0018,0.0018,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame418_green.jpg,0,0.5,0.166666672,0.25,0.25,0,0.0038,0.0018,0.0025000000000000001,0.0016999999999999999,0.0018,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame419_green.jpg,0,0.5,0.166666672,0.5,0,0.25,0.0044000000000000003,0.0016999999999999999,0.0027000000000000001,0.0018,0.0016999999999999999,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame420_green.jpg,0,0.5,0.166666672,0.25,0.25,0,0.0041999999999999997,0.0016999999999999999,0.0025999999999999999,0.0016999999999999999,0.0016999999999999999,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame421_green.jpg,0.25,0.5,0,0,0.25,0,0.0041000000000000003,0.0016999999999999999,0.0025000000000000001,0.0016999999999999999,0.0082000000000000007,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame422_green.jpg,0,0.5,0,0,0.5,0,0.0032000000000000002,0.0016999999999999999,0.0025000000000000001,0.0016000000000000001,0.0018,0.0016999999999999999
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2.2_frame423_green.jpg,0,0.5,0,0.25,0.25,0,0.0033,0.0018,0.0025999999999999999,0.0016999999999999999,0.0016999999999999999,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2_frame168_green.jpg,0,0.5,0.333333343,0,0.25,0,0.0032000000000000002,0.0019,0.0027000000000000001,0.0016999999999999999,0.0016999999999999999,0.0018
C:\Users\beata.haracewiat\Desktop\Thesis\data_processing\green\subject1_scenario2_frame169_green.jpg,0,0,0.166666672,0.25,0.25,0,0.0044999999999999997,0.0018,0.0028,0.0018,0.0018,0.0018
